Folio del reporte,Numero de remisión,Numero de operador,Nombre del operador,Fecha de reporte,Descripción,O.C.,Origen-Destino,Ruta autorizada,Cliente,Origen,CP,Ciudad,Colonia,Calle,Consumo diésel,Casetas,Hora salida,Hora llegada,Placas,Remolques,Dollies,Check,Columna Extra
FR-16,8823,47,Operador 13,2025-08-05,Recolección,52161,CDMX-Veracruz,Ruta 1,Cliente 8,CDMX,59707,Ciudad,Centro,Calle 19,199.14,4,10:04,20:58,ABC-796,2,No,Cambio ruta,Extra
FR-17,8614,48,Operador 20,2025-06-28,Recolección,97725,CDMX-Veracruz,Ruta 1,Cliente 5,CDMX,84759,Ciudad,Centro,Calle 15,112.15,2,9:20,9:48,ABC-907,1,No,OK,Extra
FR-18,8409,39,Operador 5,2025-10-03,Traslado,64923,CDMX-Veracruz,Ruta 1,Cliente 5,CDMX,13940,Ciudad,Centro,Calle 17,245.89,8,23:59,8:01,ABC-830,2,No,Cambio ruta,Extra
FR-19,9483,40,Operador 17,2025-12-18,Traslado,99795,CDMX-Veracruz,Ruta 1,Cliente 9,CDMX,27082,Ciudad,Centro,Calle 100,185.76,4,5:38,22:42,ABC-795,3,No,OK,Extra
FR-20,3331,3,Operador 43,2026-03-12,Entrega,51641,CDMX-Veracruz,Ruta 1,Cliente 1,CDMX,41628,Ciudad,Centro,Calle 55,57.89,10,7:24,4:01,ABC-451,2,No,Cambio ruta,Extra
FR-21,9868,37,Operador 2,2025-12-24,Recolección,22813,CDMX-Veracruz,Ruta 1,Cliente 15,CDMX,64756,Ciudad,Centro,Calle 30,83.72,8,21:24,19:56,ABC-883,3,Sí,Botón pánico,Extra
FR-22,5350,49,Operador 36,2025-04-02,Entrega,38296,CDMX-Veracruz,Ruta 1,Cliente 16,CDMX,80402,Ciudad,Centro,Calle 75,287.2,8,4:08,4:26,ABC-365,3,Sí,OK,Extra
FR-23,5812,12,Operador 33,2025-07-20,Entrega,36331,CDMX-Veracruz,Ruta 1,Cliente 10,CDMX,69713,Ciudad,Centro,Calle 79,71.11,1,4:47,23:31,ABC-358,2,Sí,Cambio ruta,Extra
FR-24,4010,33,Operador 29,2026-03-18,Entrega,39334,CDMX-Veracruz,Ruta 1,Cliente 1,CDMX,79350,Ciudad,Centro,Calle 64,299.38,1,17:56,15:44,ABC-757,2,Sí,OK,Extra
FR-25,9979,45,Operador 38,2025-04-04,Entrega,98361,CDMX-Veracruz,Ruta 1,Cliente 4,CDMX,93875,Ciudad,Centro,Calle 63,153.69,8,13:56,11:39,ABC-646,1,No,Botón pánico,Extra
FR-26,7339,49,Operador 50,2025-04-02,Recolección,24476,CDMX-Veracruz,Ruta 1,Cliente 17,CDMX,25170,Ciudad,Centro,Calle 30,212.12,1,18:34,2:49,ABC-167,2,Sí,Cambio ruta,Extra
FR-27,4090,3,Operador 18,2025-08-09,Entrega,47558,CDMX-Veracruz,Ruta 1,Cliente 19,CDMX,85203,Ciudad,Centro,Calle 32,273.11,6,23:04,5:30,ABC-369,1,No,Cambio ruta,Extra
FR-28,3672,48,Operador 10,2025-06-14,Entrega,18188,CDMX-Veracruz,Ruta 1,Cliente 18,CDMX,74372,Ciudad,Centro,Calle 91,67.55,3,15:03,22:39,ABC-270,2,Sí,Cambio ruta,Extra
FR-29,8344,41,Operador 3,2025-11-12,Traslado,17547,CDMX-Veracruz,Ruta 1,Cliente 17,CDMX,79394,Ciudad,Centro,Calle 15,261.11,2,0:43,2:07,ABC-695,1,Sí,Botón pánico,Extra
FR-30,2369,13,Operador 8,2026-02-22,Recolección,58900,CDMX-Veracruz,Ruta 1,Cliente 2,CDMX,81186,Ciudad,Centro,Calle 53,123.47,6,1:23,8:54,ABC-166,3,No,Botón pánico,Extra
FR-31,7231,38,Operador 20,2026-03-11,Recolección,29234,CDMX-Veracruz,Ruta 1,Cliente 19,CDMX,98410,Ciudad,Centro,Calle 7,158.02,7,13:51,8:15,ABC-274,1,No,OK,Extra
FR-32,8519,50,Operador 37,2025-06-27,Entrega,42727,CDMX-Veracruz,Ruta 1,Cliente 9,CDMX,92213,Ciudad,Centro,Calle 11,186.28,5,1:11,22:23,ABC-879,2,Sí,OK,Extra
FR-33,5037,2,Operador 6,2025-04-02,Recolección,36924,CDMX-Veracruz,Ruta 1,Cliente 3,CDMX,81556,Ciudad,Centro,Calle 59,65.17,3,21:21,23:59,ABC-189,2,Sí,Cambio ruta,Extra
FR-34,7463,3,Operador 19,2025-11-10,Traslado,93022,CDMX-Veracruz,Ruta 1,Cliente 16,CDMX,32090,Ciudad,Centro,Calle 74,126.25,4,5:02,14:25,ABC-942,2,Sí,Botón pánico,Extra
FR-35,8321,3,Operador 7,2025-07-12,Recolección,48633,CDMX-Veracruz,Ruta 1,Cliente 9,CDMX,55152,Ciudad,Centro,Calle 17,290.02,8,3:36,13:45,ABC-984,1,No,Botón pánico,Extra
FR-36,3589,39,Operador 4,2026-02-13,Recolección,17999,CDMX-Veracruz,Ruta 1,Cliente 7,CDMX,58684,Ciudad,Centro,Calle 35,75.85,4,21:38,7:43,ABC-124,1,Sí,OK,Extra
FR-37,4486,20,Operador 4,2025-09-29,Entrega,49337,CDMX-Veracruz,Ruta 1,Cliente 13,CDMX,52717,Ciudad,Centro,Calle 80,254.34,9,12:49,9:31,ABC-605,1,Sí,Botón pánico,Extra
FR-38,1582,17,Operador 26,2025-10-04,Entrega,41215,CDMX-Veracruz,Ruta 1,Cliente 17,CDMX,35995,Ciudad,Centro,Calle 99,88.0,6,17:30,22:47,ABC-587,3,Sí,OK,Extra
FR-39,7271,1,Operador 47,2025-05-04,Recolección,80153,CDMX-Veracruz,Ruta 1,Cliente 7,CDMX,71258,Ciudad,Centro,Calle 33,239.33,2,11:55,2:31,ABC-195,2,No,Cambio ruta,Extra
FR-40,8460,41,Operador 19,2025-12-29,Entrega,71358,CDMX-Veracruz,Ruta 1,Cliente 10,CDMX,95467,Ciudad,Centro,Calle 27,71.98,3,18:58,18:43,ABC-857,2,No,OK,Extra
FR-41,7582,6,Operador 31,2025-06-30,Traslado,88084,CDMX-Veracruz,Ruta 1,Cliente 9,CDMX,82433,Ciudad,Centro,Calle 14,139.73,10,4:55,9:57,ABC-268,3,No,Cambio ruta,Extra
FR-42,2096,50,Operador 41,2026-03-16,Entrega,52175,CDMX-Veracruz,Ruta 1,Cliente 18,CDMX,72856,Ciudad,Centro,Calle 1,215.67,10,5:07,12:17,ABC-662,2,No,Cambio ruta,Extra
FR-43,1430,24,Operador 19,2025-10-07,Recolección,13237,CDMX-Veracruz,Ruta 1,Cliente 8,CDMX,95209,Ciudad,Centro,Calle 25,151.17,7,16:04,5:14,ABC-131,3,No,OK,Extra
FR-44,6230,7,Operador 39,2025-11-20,Entrega,57747,CDMX-Veracruz,Ruta 1,Cliente 6,CDMX,27877,Ciudad,Centro,Calle 3,245.62,1,3:42,18:54,ABC-318,3,No,Botón pánico,Extra
FR-45,4607,27,Operador 1,2025-10-18,Entrega,74488,CDMX-Veracruz,Ruta 1,Cliente 19,CDMX,23736,Ciudad,Centro,Calle 83,292.66,4,4:32,16:35,ABC-895,3,No,Botón pánico,Extra
FR-46,1518,29,Operador 10,2025-04-07,Traslado,39387,CDMX-Veracruz,Ruta 1,Cliente 4,CDMX,13618,Ciudad,Centro,Calle 50,149.29,2,13:35,6:53,ABC-121,2,No,OK,Extra
FR-47,2281,34,Operador 15,2026-02-27,Recolección,40183,CDMX-Veracruz,Ruta 1,Cliente 20,CDMX,88444,Ciudad,Centro,Calle 84,192.86,4,7:58,18:39,ABC-470,2,Sí,Botón pánico,Extra
FR-48,2895,47,Operador 49,2025-11-26,Recolección,18899,CDMX-Veracruz,Ruta 1,Cliente 2,CDMX,25500,Ciudad,Centro,Calle 86,51.75,3,23:16,16:06,ABC-983,1,No,OK,Extra
FR-49,8830,12,Operador 18,2025-06-14,Traslado,20874,CDMX-Veracruz,Ruta 1,Cliente 6,CDMX,35617,Ciudad,Centro,Calle 58,144.28,6,18:22,9:03,ABC-547,2,No,Cambio ruta,Extra
